ts,temperature,description
2017-11-26 18:00:00,278.5,scattered clouds
2017-11-26 19:00:00,280.23,few clouds
2017-11-26 20:00:00,281.24,few clouds
2017-11-26 21:00:00,282.24,few clouds
2017-11-26 22:00:00,282.78,few clouds
2017-11-26 23:00:00,281.76,scattered clouds
2017-11-27 00:00:00,280.56,scattered clouds
2017-11-27 01:00:00,279.52,sky is clear
2017-11-27 02:00:00,280.35,sky is clear
2017-11-27 03:00:00,280.32,sky is clear
2017-11-27 04:00:00,280.35,sky is clear
2017-11-27 05:00:00,278.89,sky is clear
2017-11-27 06:00:00,277.8,sky is clear
2017-11-27 07:00:00,276.52,sky is clear
2017-11-27 08:00:00,275.61,sky is clear
2017-11-27 09:00:00,275.06,sky is clear
2017-11-27 10:00:00,274.23,mist
2017-11-27 11:00:00,273.14,mist
2017-11-27 12:00:00,272.34,mist
2017-11-27 13:00:00,272.43,mist
2017-11-27 14:00:00,273.21,mist
2017-11-27 15:00:00,275.1,mist
2017-11-27 16:00:00,278.77,haze
2017-11-27 17:00:00,281.94,haze
2017-11-27 18:00:00,283.13,haze
2017-11-27 19:00:00,285.25,sky is clear
2017-11-27 20:00:00,286.54,sky is clear
2017-11-27 21:00:00,286.44,sky is clear
2017-11-27 22:00:00,286.14,broken clouds
2017-11-27 23:00:00,285.44,broken clouds
2017-11-28 00:00:00,283.39,broken clouds
2017-11-28 01:00:00,284.53,broken clouds
2017-11-28 02:00:00,284.73,overcast clouds
2017-11-28 03:00:00,285.33,sky is clear
2017-11-28 04:00:00,285.32,sky is clear
2017-11-28 05:00:00,285.32,sky is clear
2017-11-28 06:00:00,284.96,sky is clear
2017-11-28 07:00:00,285.06,sky is clear
2017-11-28 08:00:00,284.42,sky is clear
2017-11-28 09:00:00,284.25,sky is clear
2017-11-28 10:00:00,283.98,sky is clear
2017-11-28 11:00:00,284.15,sky is clear
2017-11-28 12:00:00,283.79,sky is clear
2017-11-28 13:00:00,283.96,sky is clear
2017-11-28 14:00:00,284.05,few clouds
2017-11-28 15:00:00,284.65,broken clouds
2017-11-28 16:00:00,285.65,broken clouds
2017-11-28 17:00:00,286.25,overcast clouds
2017-11-28 18:00:00,287.5,broken clouds
2017-11-28 19:00:00,289.05,overcast clouds
2017-11-28 20:00:00,289.32,overcast clouds
2017-11-28 21:00:00,289.54,broken clouds
2017-11-28 22:00:00,288.95,overcast clouds
2017-11-28 23:00:00,289.39,overcast clouds
2017-11-29 00:00:00,287.04,overcast clouds
2017-11-29 01:00:00,285.95,light rain
2017-11-29 02:00:00,284.51,broken clouds
2017-11-29 03:00:00,282.96,sky is clear
2017-11-29 04:00:00,282.04,scattered clouds
2017-11-29 05:00:00,281.26,sky is clear
2017-11-29 06:00:00,280.06,sky is clear
2017-11-29 07:00:00,279.44,sky is clear
2017-11-29 08:00:00,277.69,sky is clear
2017-11-29 09:00:00,277.16,sky is clear
2017-11-29 10:00:00,275.97,sky is clear
2017-11-29 11:00:00,273.97,sky is clear
2017-11-29 12:00:00,274.08,sky is clear
2017-11-29 13:00:00,273.78,sky is clear
2017-11-29 14:00:00,273.26,sky is clear
2017-11-29 15:00:00,275.21,sky is clear
2017-11-29 16:00:00,278.03,sky is clear
2017-11-29 17:00:00,279.58,sky is clear
2017-11-29 18:00:00,280.31,few clouds
2017-11-29 19:00:00,281.05,few clouds
2017-11-29 20:00:00,281.34,few clouds
2017-11-29 21:00:00,281.69,sky is clear
2017-11-29 22:00:00,281.07,few clouds
2017-11-29 23:00:00,280.06,sky is clear
2017-11-30 00:00:00,278.46,sky is clear
